container,owner,category,occurrences,first_line,check_valid,printed_check,correct_check
MSKU8485186,MSK,U,1,1,no,6,2
CBHU5376037,CBH,U,1,2,no,7,4
APLU4998934,APL,U,1,3,no,4,0
MSKU6968168,MSK,U,1,4,no,8,0
APLU8630512,APL,U,1,5,no,2,0
APLU3280480,APL,U,1,6,no,0,7
MSKU4570605,MSK,U,1,6,no,5,3
APLU8266451,APL,U,1,6,no,1,5
CBHU6818017,CBH,U,1,7,yes,7,7
CBHU8846096,CBH,U,1,8,no,6,1
APLU5855278,APL,U,1,9,no,8,7
NYKU8759226,NYK,U,1,10,no,6,4
CBHU4209621,CBH,U,1,11,no,1,3
MSKU3952418,MSK,U,1,12,no,8,1
MSKU4116641,MSK,U,1,13,no,1,8
MSKU7351770,MSK,U,1,14,yes,0,0
APLU1525112,APL,U,1,15,no,2,1
APLU5080500,APL,U,1,16,no,0,7
MSKU3395405,MSK,U,1,21,no,5,3
CBHU3349259,CBH,U,1,22,no,9,6
MSKU4272932,MSK,U,1,23,no,2,3
CBHU9675564,CBH,U,1,24,no,4,3
APLU2860218,APL,U,1,25,no,8,7
APLU7932834,APL,U,1,26,yes,4,4
NYKU7514514,NYK,U,1,27,no,4,0
APLU7403533,APL,U,1,28,no,3,2
MSKU1973503,MSK,U,1,29,no,3,2
MSKU2683699,MSK,U,1,30,no,9,0
NYKU4534424,NYK,U,1,31,no,4,5
CBHU7363184,CBH,U,1,32,no,4,6
CBHU5904322,CBH,U,2,33,no,2,1
APLU6858323,APL,U,2,34,no,3,6
APLU3767340,APL,U,2,35,no,0,6
MSKU6733179,MSK,U,2,36,no,9,1
CBHU3027489,CBH,U,2,37,no,9,1
MSKU5915004,MSK,U,2,38,no,4,0
CBHU4296999,CBH,U,2,39,no,9,4
MSKU3528436,MSK,U,2,40,no,6,0
APLU6076254,APL,U,2,41,no,4,0
CBHU3389893,CBH,U,1,60,no,3,7
NYKU5175961,NYK,U,1,61,no,1,8
